order_id,order_date,year,quarter,month_name,day_name,customer_id,customer_name,age,age_group,gender,region,city,product_category,product_name,quantity,unit_price,discount_pct,discount_group,sales_amount,profit_margin,profit,shipping_cost,payment_method,customer_satisfaction,return_flag,order_status,days_to_ship
ORD-03903,15/08/2024,2024,Q3,August,Thursday,CUST32603,Aarav Mehta,39,Adult,Other,Central,Raipur,Groceries,Sugar,8,346.32,,,4043.14,7%,289.18,56.04,Debit Card,,TRUE,Returned,7
ORD-02198,16/08/2022,2022,Q3,August,Tuesday,CUST07881,Sanjay Verma,28,Young Adult,Male,West,Mumbai,Beauty,Sunscreen,8,858.66,0.08,Low,9147.31,59%,5355.56,64.49,Debit Card,5,FALSE,Delivered,2
ORD-01348,29/08/2021,2021,Q3,August,Sunday,CUST49296,Pooja Sharma,41,Adult,Other,West,Surat,Furniture,Sofa,4,25941.32,0.14,Medium,110156.97,34%,36956.51,67.65,Debit Card,4,FALSE,Delivered,5
ORD-02076,07/05/2022,2022,Q2,May,Saturday,CUST05587,Priya Reddy,29,Young Adult,Other,West,Ahmedabad,Furniture,Bed Frame,9,22071.92,0.17,Medium,262066.11,25%,66644.99,54.47,EMI,3,FALSE,Delivered,4
ORD-00287,05/07/2020,2020,Q3,July,Sunday,CUST58035,Ritu Sharma,9,Child & Teen,Male,Central,Nagpur,Groceries,Cooking Oil,1,320.06,0.31,Very High,323.95,10%,31.38,48.81,Net Banking,4,FALSE,Pending,4
ORD-03954,09/02/2024,2024,Q1,February,Friday,CUST17187,Vikram Iyer,29,Young Adult,Male,West,Surat,Books,Self-Help Book,2,949.5,0.22,High,2202.33,44%,964.66,62.42,Cash on Delivery,2,TRUE,Returned,8
ORD-01412,28/09/2021,2021,Q3,September,Tuesday,CUST02453,Arjun Shah,31,Young Adult,Female,Central,Bhopal,Books,Self-Help Book,3,329.03,0.02,Low,994.87,38%,375.07,77.34,Credit Card,5,TRUE,Returned,10
ORD-02911,06/10/2023,2023,Q4,October,Friday,CUST23285,Aditya Sharma,43,Adult,Female,North,Amritsar,Clothing,Saree,1,1356.6,0.01,Low,2140.41,34%,717.27,82.68,UPI,1,FALSE,Delivered,4
ORD-00465,24/07/2020,2020,Q3,July,Friday,CUST23609,Aditya Patel,44,Adult,Female,East,Patna,Books,Self-Help Book,8,495.77,0.37,Very High,2828.82,47%,1338.88,84.5,Debit Card,1,FALSE,Cancelled,10
ORD-00105,02/09/2020,2020,Q3,September,Wednesday,CUST75337,Arjun Das,17,Child & Teen,Female,East,Patna,Clothing,Kurta,9,2128.77,0.1,Low,14568.16,29%,4173.45,75.33,UPI,3,FALSE,Delivered,8
ORD-00362,06/04/2020,2020,Q2,April,Monday,CUST80340,Meera Mishra,51,Adult,Other,Central,Raipur,Furniture,Wardrobe,3,24460.8,0.15,Medium,86997.39,17%,14762.22,60.11,UPI,1,FALSE,Delivered,8
ORD-01701,28/01/2022,2022,Q1,January,Friday,CUST47772,Shreya Bose,14,Child & Teen,Female,West,Ahmedabad,Groceries,Dal (1kg),2,274.81,0.15,Medium,379.5,6%,24.26,46.69,EMI,4,FALSE,Delivered,4
ORD-02270,14/09/2022,2022,Q3,September,Wednesday,CUST31062,Vikram Pillai,15,Child & Teen,Other,North,Ludhiana,Beauty,Lipstick,7,111.14,0.37,Very High,567.33,54%,305.65,44.94,Net Banking,4,FALSE,Delivered,9
ORD-03417,21/01/2024,2024,Q1,January,Sunday,CUST83946,Karan Bose,29,Young Adult,Female,West,Pune,Books,Cook Book,10,1492.28,0.38,Very High,9315.19,47%,4336.31,66.67,Debit Card,3,TRUE,Returned,
ORD-02532,01/04/2023,2023,Q2,April,Saturday,CUST73360,Deepa Joshi,53,Adult,Male,South,Kochi,Clothing,T-Shirt,9,590.14,,,4824.04,47%,2277.4,79.19,EMI,1,FALSE,Delivered,4
ORD-03524,03/10/2024,2024,Q4,October,Thursday,CUST50623,Deepa Mehta,3,Child & Teen,Female,South,Kochi,Furniture,Chair,10,12138.87,0.15,Medium,144295.18,35%,50995.28,49.93,EMI,,FALSE,Delivered,1
ORD-01814,14/03/2022,2022,Q1,March,Monday,CUST08792,Rahul Gupta,26,Young Adult,Male,South,Bangalore,Clothing,Dress,10,1706.05,0.04,Low,17995.41,36%,6453.4,89.15,UPI,5,FALSE,Delivered,4
ORD-03257,11/06/2023,2023,Q2,June,Sunday,CUST88256,Shreya Singh,15,Child & Teen,Male,East,Guwahati,Electronics,Tablet,8,73558.44,0.4,Very High,315130.44,17%,53808.65,82.71,UPI,3,FALSE,Delivered,6
ORD-04171,17/12/2024,2024,Q4,December,Tuesday,CUST15084,Nikhil Mishra,43,Adult,Male,South,Kochi,Clothing,Jacket,5,3006.52,0.12,Medium,10622.32,46%,4837.79,75.97,Credit Card,1,FALSE,Delivered,5
ORD-00049,19/01/2020,2020,Q1,January,Sunday,CUST43401,Sanjay Bose,21,Young Adult,Other,North,Delhi,Furniture,Sofa,3,34890.63,0.29,High,64727.53,28%,18067.63,40.97,Net Banking,5,FALSE,Shipped,3
ORD-01978,24/05/2022,2022,Q2,May,Tuesday,CUST43165,Kavya Kumar,15,Child & Teen,Other,South,Chennai,Electronics,Headphones,7,48577.53,0.07,Low,483408.08,8%,36816.91,57.45,EMI,2,FALSE,Delivered,4
ORD-00968,17/03/2021,2021,Q1,March,Wednesday,CUST41573,Sanjay Mishra,35,Young Adult,Female,South,Kochi,Sports,Dumbbells,8,7643.4,0.09,Low,61783.2,16%,10099.62,65.76,Credit Card,,FALSE,Delivered,8
